 from   to   via     T_slow    T_thermal     mfp_s       mfp_t    
    61    22    35   1.809E-02   5.679E-02   1.608E-02   2.592E-01
    61    31    35   6.025E-01   9.134E-01   1.608E-02   2.592E-01
    22    61    35   1.064E-02   3.343E-02   1.608E-02   2.617E-01
    22    22    35   0.000E+00   0.000E+00   1.608E-02   2.617E-01
    22    31    35   6.301E-01   9.404E-01   1.608E-02   2.617E-01
    31    61    35   2.339E-01   3.550E-01   1.608E-02   2.718E-01
    31    22    35   4.158E-01   6.212E-01   1.608E-02   2.718E-01
    31    31    35   0.000E+00   0.000E+00   1.608E-02   2.718E-01
  2645  2645    36   0.000E+00   0.000E+00   1.727E+03   1.727E+03
  2645  2644    36   1.021E-01   1.021E-01   1.727E+03   1.727E+03
  2645    76    36   8.979E-01   8.979E-01   1.727E+03   1.727E+03
  2644  2645    36   1.351E-01   1.351E-01   1.727E+03   4.563E+03
  2644  2644    36   0.000E+00   0.000E+00   1.727E+03   4.563E+03
  2644    76    36   8.649E-01   8.649E-01   1.727E+03   4.563E+03
    76  2645    36   5.787E-01   5.787E-01   1.727E+03   1.727E+03
    76  2644    36   4.213E-01   4.213E-01   1.727E+03   1.727E+03
    76    76    36   0.000E+00   0.000E+00   1.727E+03   1.727E+03
  3457  3457    37   0.000E+00   0.000E+00   1.881E-03   5.137E-02
  3457   833    37   9.576E-02   6.185E-01   1.881E-03   5.137E-02
  3457   970    37   3.912E-02   2.593E-01   1.881E-03   5.137E-02
   833  3457    37   1.313E-01   8.451E-01   1.881E-03   5.037E-02
   833   833    37   0.000E+00   0.000E+00   1.881E-03   5.037E-02
   833   970    37   1.648E-03   2.551E-02   1.881E-03   5.037E-02
   970  3457    37   1.195E-01   7.892E-01   1.881E-03   5.029E-02
   970   833    37   3.673E-03   5.681E-02   1.881E-03   5.029E-02
   970   970    37   0.000E+00   0.000E+00   1.881E-03   5.029E-02
  2748  2748    38   0.000E+00   0.000E+00   3.118E+00   2.639E+01
  2748  2955    38   9.421E-02   9.461E-02   3.118E+00   2.639E+01
  2748  2749    38   9.031E-01   9.051E-01   3.118E+00   2.639E+01
  2955  2748    38   4.270E-01   4.288E-01   3.118E+00   2.520E+01
  2955  2955    38   0.000E+00   0.000E+00   3.118E+00   2.520E+01
  2955  2749    38   5.686E-01   5.706E-01   3.118E+00   2.520E+01
  2749  2748    38   8.757E-01   8.776E-01   3.118E+00   2.259E+01
  2749  2955    38   1.216E-01   1.221E-01   3.118E+00   2.259E+01
  2749  2749    38   0.000E+00   0.000E+00   3.118E+00   2.259E+01
  2848  2848    39   0.000E+00   0.000E+00   1.396E+00   1.052E+01
  2848  2749    39   4.644E-01   4.682E-01   1.396E+00   1.052E+01
  2848  2751    39   5.265E-01   5.305E-01   1.396E+00   1.052E+01
  2749  2848    39   8.486E-02   8.556E-02   1.396E+00   1.015E+01
  2749  2749    39   0.000E+00   0.000E+00   1.396E+00   1.015E+01
  2749  2751    39   9.098E-01   9.137E-01   1.396E+00   1.015E+01
  2751  2848    39   9.512E-02   9.580E-02   1.396E+00   6.792E+00
  2751  2749    39   8.996E-01   9.031E-01   1.396E+00   6.792E+00
